t,J,phi,r
3.721000000000000085e+00,-6.272010616383174586e-01,1.446910696326414100e-03,5.106432348571627866e-01
3.721999999999999975e+00,-6.237796349723980782e-01,1.419350454882450062e-03,5.108698668035636103e-01
3.722999999999999865e+00,-6.199844249473496216e-01,1.391159408450714325e-03,5.110964007105096574e-01
3.724000000000000199e+00,-6.158202613096563915e-01,1.362341432903660171e-03,5.113228321501939178e-01
3.725000000000000089e+00,-6.112922650007198699e-01,1.332900775747570708e-03,5.115491569244433601e-01
3.725999999999999979e+00,-6.064058424779719125e-01,1.302842051003601318e-03,5.117753706223120425e-01
3.726999999999999869e+00,-6.011666797754204872e-01,1.272170233801599593e-03,5.120014682044372600e-01
3.728000000000000203e+00,-5.955807363095486640e-01,1.240890654692647452e-03,5.122274459029656501e-01
3.729000000000000092e+00,-5.896542384369011236e-01,1.209008993686541819e-03,5.124532994225844407e-01
3.729999999999999982e+00,-5.833936727697408564e-01,1.176531274020650112e-03,5.126790247566554992e-01
3.730999999999999872e+00,-5.768057792565445263e-01,1.143463855666841797e-03,5.129046176078998487e-01
3.732000000000000206e+00,-5.698975440342952670e-01,1.109813428583427287e-03,5.131300739331720040e-01
3.733000000000000096e+00,-5.626761920596939914e-01,1.075587005719274908e-03,5.133553897289730994e-01
3.733999999999999986e+00,-5.551491795266647600e-01,1.040791915777468726e-03,5.135805606577595883e-01
3.734999999999999876e+00,-5.473241860778161882e-01,1.005435795746132668e-03,5.138055827659300245e-01
3.736000000000000210e+00,-5.392091068175642876e-01,9.695265832041949665e-04,5.140304520644609632e-01
3.737000000000000099e+00,-5.308120441349344354e-01,9.330725084101395769e-04,5.142551646812121291e-01
3.737999999999999989e+00,-5.221412993442070549e-01,8.960820861819007851e-04,5.144797173322773753e-01
3.738999999999999879e+00,-5.132053641517371201e-01,8.585641075763159394e-04,5.147041057014405396e-01
3.740000000000000213e+00,-5.040129119574900951e-01,8.205276313766556419e-04,5.149283261941119960e-01
3.741000000000000103e+00,-4.945727889999344540e-01,7.819819753970018352e-04,5.151523755600179166e-01
3.741999999999999993e+00,-4.848940053530762517e-01,7.429367076123115496e-04,5.153762503999016475e-01
3.742999999999999883e+00,-4.749857257847294179e-01,7.034016371232037872e-04,5.155999464897862428e-01
3.744000000000000217e+00,-4.648572604849739442e-01,6.633868049646650953e-04,5.158234605146170271e-01
3.745000000000000107e+00,-4.545180556741152955e-01,6.229024747679366009e-04,5.160467892643814114e-01
3.745999999999999996e+00,-4.439776840994669738e-01,5.819591232850350156e-04,5.162699301541694430e-01
3.746999999999999886e+00,-4.332458354303930226e-01,5.405674307854154131e-04,5.164928792866028129e-01
3.748000000000000220e+00,-4.223323065611455651e-01,4.987382713344404653e-04,5.167156334587831301e-01
3.749000000000000110e+00,-4.112469918312173234e-01,4.564827029633446772e-04,5.169381898807882125e-01
3.750000000000000000e+00,-3.999998731727363865e-01,4.138119577405610519e-04,5.171605456334599227e-01
3.750999999999999890e+00,-3.886010101949167184e-01,3.707374317542499716e-04,5.173826979636331203e-01
3.752000000000000224e+00,-3.770605302152169602e-01,3.272706750159918351e-04,5.176046434606650370e-01
3.753000000000000114e+00,-3.653886182471948185e-01,2.834233812956735697e-04,5.178263799409228429e-01
3.754000000000000004e+00,-3.535955069549535645e-01,2.392073778975878850e-04,5.180479039306394862e-01
3.754999999999999893e+00,-3.416914665841576659e-01,1.946346153878308969e-04,5.182692128389215780e-01
3.756000000000000227e+00,-3.296867948795557668e-01,1.497171572831266844e-04,5.184903039800471403e-01
3.757000000000000117e+00,-3.175918069991110482e-01,1.044671697111856169e-04,5.187111747924636473e-01
3.758000000000000007e+00,-3.054168254345460687e-01,5.889691105270808061e-05,5.189318235159632309e-01
3.758999999999999897e+00,-2.931721699484577948e-01,1.301872157518033711e-05,5.191522475322798424e-01
3.760000000000000231e+00,-2.808681475378873582e-01,-3.315498693145452414e-05,5.193724438782482133e-01
3.761000000000000121e+00,-2.685150424342889752e-01,-7.961174150716240113e-05,5.195924107861078500e-01
3.762000000000000011e+00,-2.561231061497220018e-01,-1.263390183521840822e-04,5.198121463314420154e-01
3.762999999999999901e+00,-2.437025475792788942e-01,-1.733242531254087994e-04,5.200316482946444330e-01
3.764000000000000234e+00,-2.312635231693267734e-01,-2.205548512008130438e-04,5.202509146635271309e-01
3.765000000000000124e+00,-2.188161271614817160e-01,-2.680181978720811006e-04,5.204699438992029803e-01
3.766000000000000014e+00,-2.063703819217510005e-01,-3.157016684956171436e-04,5.206887346956629026e-01
3.766999999999999904e+00,-1.939362283645550411e-01,-3.635926385622471717e-04,5.209072847612321588e-01
3.768000000000000238e+00,-1.815235164810231339e-01,-4.116784936879743016e-04,5.211255919821867755e-01
3.769000000000000128e+00,-1.691419959809104256e-01,-4.599466395142600469e-04,5.213436552676345981e-01
3.770000000000000018e+00,-1.568013070572973899e-01,-5.083845115084729104e-04,5.215614735508261601e-01
3.770999999999999908e+00,-1.445109712833546611e-01,-5.569795846551866582e-04,5.217790461273013047e-01
3.772000000000000242e+00,-1.322803826499377722e-01,-6.057193830291920282e-04,5.219963705414213395e-01
3.773000000000000131e+00,-1.201187987529913903e-01,-6.545914892412215856e-04,5.222134460219467478e-01
3.774000000000000021e+00,-1.080353321393485722e-01,-7.035835537475340759e-04,5.224302719431485054e-01
3.774999999999999911e+00,-9.603894181947761344e-02,-7.526833040146450318e-04,5.226468473655503377e-01
3.776000000000000245e+00,-8.413842495553339185e-02,-8.018785535306846221e-04,5.228631709062440125e-01
3.777000000000000135e+00,-7.234240873286540419e-02,-8.511572106550389406e-04,5.230792417582174059e-01
3.778000000000000025e+00,-6.065934242289877654e-02,-9.005072872980655896e-04,5.232950591033782572e-01
3.778999999999999915e+00,-4.909748964533156013e-02,-9.499169074229567387e-04,5.235106220515581832e-01
3.780000000000000249e+00,-3.766492083707545513e-02,-9.993743153619164075e-04,5.237259303059510485e-01
3.781000000000000139e+00,-2.636950593542131127e-02,-1.048867883939118284e-03,5.239409831851120636e-01
3.782000000000000028e+00,-1.521890728251562575e-02,-1.098386122393066192e-03,5.241557808129320151e-01
3.782999999999999918e+00,-4.220572758170781924e-03,-1.147917684091232481e-03,5.243703225090298181e-01
3.784000000000000252e+00,6.618270852399743553e-03,-1.197451374030035227e-03,5.245846084251190033e-01
3.785000000000000142e+00,1.729062424929472819e-02,-1.246976156113542566e-03,5.247986384941110138e-01
3.786000000000000032e+00,2.778972176105765080e-02,-1.296481160204405883e-03,5.250124127876906188e-01
3.786999999999999922e+00,3.810903723407976784e-02,-1.345955688940880714e-03,5.252259308617233113e-01
3.788000000000000256e+00,4.824228966264798579e-02,-1.395389224314004138e-03,5.254391931602141463e-01
3.789000000000000146e+00,5.818344855414592232e-02,-1.444771433999242002e-03,5.256522002865627874e-01
3.790000000000000036e+00,6.792673902427309729e-02,-1.494092177437216212e-03,5.258649521851944675e-01
3.790999999999999925e+00,7.746664661728019929e-02,-1.543341511658392678e-03,5.260774494609805618e-01
3.792000000000000259e+00,8.679792184666459964e-02,-1.592509696846847568e-03,5.262896921559231389e-01
3.793000000000000149e+00,9.591558445188483328e-02,-1.641587201638544527e-03,5.265016808972592388e-01
3.794000000000000039e+00,1.048149273671572790e-01,-1.690564708149854814e-03,5.267134160357112016e-01
3.794999999999999929e+00,1.134915203983833665e-01,-1.739433116732285161e-03,5.269248987470505075e-01
3.796000000000000263e+00,1.219412136048936279e-01,-1.788183550449718622e-03,5.271361300886486800e-01
3.797000000000000153e+00,1.301601403826757597e-01,-1.836807359274768769e-03,5.273471110534480033e-01
3.798000000000000043e+00,1.381447202463511048e-01,-1.885296124001099817e-03,5.275578424350099160e-01
3.798999999999999932e+00,1.458916613071793988e-01,-1.933641659868939270e-03,5.277683252772902289e-01
3.800000000000000266e+00,1.533979624449262891e-01,-1.981836019901248892e-03,5.279785607973639383e-01
3.801000000000000156e+00,1.606609151715591988e-01,-2.029871497948362597e-03,5.281885498951705005e-01
3.802000000000000046e+00,1.676781051852052618e-01,-2.077740631439205839e-03,5.283982940960122443e-01
3.802999999999999936e+00,1.744474136129363639e-01,-2.125436203837519859e-03,5.286077951700195454e-01
3.804000000000000270e+00,1.809670179414407942e-01,-2.172951246801793201e-03,5.288170548904728152e-01
3.805000000000000160e+00,1.872353926348130082e-01,-2.220279042047994776e-03,5.290260747497563809e-01
3.806000000000000050e+00,1.932513094391586916e-01,-2.267413122914447958e-03,5.292348560101178823e-01
3.806999999999999940e+00,1.990138373738203348e-01,-2.314347275628475357e-03,5.294434013584299326e-01
3.808000000000000274e+00,2.045223424096133669e-01,-2.361075540274892772e-03,5.296517121780673909e-01
3.809000000000000163e+00,2.097764868344855760e-01,-2.407592211466569147e-03,5.298597905024606813e-01
3.810000000000000053e+00,2.147762283076320167e-01,-2.453891838717736900e-03,5.300676384345003322e-01
3.810999999999999943e+00,2.195218186031235863e-01,-2.499969226520916063e-03,5.302752574912737993e-01
3.812000000000000277e+00,2.240138020446676148e-01,-2.545819434128760231e-03,5.304826504330827364e-01
3.813000000000000167e+00,2.282530136332404647e-01,-2.591437775042329614e-03,5.306898190848617913e-01
3.814000000000000057e+00,2.322405768698093120e-01,-2.636819816207656465e-03,5.308967660439882774e-01
3.814999999999999947e+00,2.359779012755219285e-01,-2.681961376922801631e-03,5.311034940441813346e-01
3.816000000000000281e+00,2.394666796121520669e-01,-2.726858527457816980e-03,5.313100057623942885e-01
3.817000000000000171e+00,2.427088848058279180e-01,-2.771507587390446489e-03,5.315163034301699785e-01
3.818000000000000060e+00,2.457067665774837206e-01,-2.815905123660567954e-03,5.317223895095181119e-01
3.818999999999999950e+00,2.484628477835535976e-01,-2.860047948346811347e-03,5.319282664084878931e-01
3.820000000000000284e+00,2.509799204710146947e-01,-2.903933116168927377e-03,5.321339369953678178e-01
3.821000000000000174e+00,2.532610416508975781e-01,-2.947557921719927768e-03,5.323394041309487124e-01
3.822000000000000064e+00,2.553095287948860537e-01,-2.990919896432157540e-03,5.325446706716152612e-01
3.822999999999999954e+00,2.571289550597362639e-01,-3.034016805281837797e-03,5.327497394580927859e-01
3.824000000000000288e+00,2.587231442447042173e-01,-3.076846643236835158e-03,5.329546134547583636e-01
3.825000000000000178e+00,2.600961654872175899e-01,-3.119407631452722398e-03,5.331592954364553494e-01
3.826000000000000068e+00,2.612523277025804447e-01,-3.161698213222397750e-03,5.333637886741950940e-01
3.826999999999999957e+00,2.621961737734493925e-01,-3.203717049684886003e-03,5.335680959455978423e-01
3.828000000000000291e+00,2.629324744953151494e-01,-3.245463015299074588e-03,5.337722213696487472e-01
3.829000000000000181e+00,2.634662222843838220e-01,-3.286935193088489585e-03,5.339761684139862075e-01
3.830000000000000071e+00,2.638026246544861175e-01,-3.328132869663383980e-03,5.341799409528500409e-01
3.830999999999999961e+00,2.639470974698341355e-01,-3.369055530026698018e-03,5.343835415381908982e-01
3.832000000000000295e+00,2.639052579808949806e-01,-3.409702852170602445e-03,5.345869743980384836e-01
3.833000000000000185e+00,2.636829176505057770e-01,-3.450074701470661528e-03,5.347902435124807230e-01
3.834000000000000075e+00,2.632860747779277588e-01,-3.490171124884736912e-03,5.349933518827955092e-01
3.834999999999999964e+00,2.627209069285576515e-01,-3.529992344964071656e-03,5.351963032170397039e-01
3.836000000000000298e+00,2.619937631771896980e-01,-3.569538753684112220e-03,5.353991013045472647e-01
3.837000000000000188e+00,2.611111561730795616e-01,-3.608810906102849925e-03,5.356017502795631380e-01
3.838000000000000078e+00,2.600797540350609505e-01,-3.647809513854623469e-03,5.358042532897321353e-01
3.838999999999999968e+00,2.589063720852339268e-01,-3.686535438487518763e-03,5.360066139946647601e-01
3.839999999999999858e+00,2.575979644299714044e-01,-3.724989684652640735e-03,5.362088363478620945e-01
3.841000000000000192e+00,2.561616153969485388e-01,-3.763173393153702601e-03,5.364109254567905882e-01
3.842000000000000082e+00,2.546045308373389715e-01,-3.801087833865493017e-03,5.366128850561623365e-01
3.842999999999999972e+00,2.529340293021329344e-01,-3.838734398529985384e-03,5.368147187906632256e-01
3.843999999999999861e+00,2.511575331020077795e-01,-3.876114593438884353e-03,5.370164306327402937e-01
3.845000000000000195e+00,2.492825592599594575e-01,-3.913230032011609690e-03,5.372180245794345721e-01
3.846000000000000085e+00,2.473167103663440614e-01,-3.950082427277771917e-03,5.374195046566166978e-01
3.846999999999999975e+00,2.452676653458162881e-01,-3.986673584273302956e-03,5.376208759452404395e-01
3.847999999999999865e+00,2.431431701458831030e-01,-4.023005392359527317e-03,5.378221425910980624e-01
3.849000000000000199e+00,2.409510283569137601e-01,-4.059079817474484098e-03,5.380233080607773610e-01
3.850000000000000089e+00,2.386990917733191053e-01,-4.094898894325904593e-03,5.382243776706828742e-01
3.850999999999999979e+00,2.363952509059823182e-01,-4.130464718535353970e-03,5.384253551884777833e-01
3.851999999999999869e+00,2.340474254557638745e-01,-4.165779438742991253e-03,5.386262451587923161e-01
3.853000000000000203e+00,2.316635547581304411e-01,-4.200845248682553643e-03,5.388270514692957702e-01
3.854000000000000092e+00,2.292515882090953583e-01,-4.235664379236133911e-03,5.390277795246267711e-01
3.854999999999999982e+00,2.268194756822592417e-01,-4.270239090478326546e-03,5.392284327716296843e-01
3.855999999999999872e+00,2.243751579473224067e-01,-4.304571663719411120e-03,5.394290157169151501e-01
3.857000000000000206e+00,2.219265571000003656e-01,-4.338664393557152034e-03,5.396295335948835259e-01
3.858000000000000096e+00,2.194815670134429297e-01,-4.372519579946794639e-03,5.398299902589266397e-01
3.858999999999999986e+00,2.170480438212480934e-01,-4.406139520298896738e-03,5.400303905301389040e-01
3.859999999999999876e+00,2.146337964421417555e-01,-4.439526501614492193e-03,5.402307388265603638e-01
3.861000000000000210e+00,2.122465771562194736e-01,-4.472682792667121571e-03,5.404310403154074516e-01
3.862000000000000099e+00,2.098940722428438710e-01,-4.505610636241173632e-03,5.406312991389086164e-01
3.862999999999999989e+00,2.075838926899878922e-01,-4.538312241435954637e-03,5.408315195146048415e-01
3.863999999999999879e+00,2.053235649848907107e-01,-4.570789776044766224e-03,5.410317067913358313e-01
3.865000000000000213e+00,2.031205219957999131e-01,-4.603045359018293446e-03,5.412318654632396475e-01
3.866000000000000103e+00,2.009820939544844087e-01,-4.635081053021398133e-03,5.414319996562328985e-01
3.866999999999999993e+00,1.989154995489431088e-01,-4.666898857092410119e-03,5.416321140029285441e-01
3.867999999999999883e+00,1.969278371360317359e-01,-4.698500699413831957e-03,5.418322135226542047e-01
3.869000000000000217e+00,1.950260760830996309e-01,-4.729888430203298133e-03,5.420323025603263067e-01
3.870000000000000107e+00,1.932170482479860507e-01,-4.761063814733463261e-03,5.422323860369092641e-01
3.870999999999999996e+00,1.915074396064831985e-01,-4.792028526489379263e-03,5.424324676606014917e-01
3.871999999999999886e+00,1.899037820361145767e-01,-4.822784140471776670e-03,5.426325526914075326e-01
3.873000000000000220e+00,1.884124452650712545e-01,-4.853332126654496918e-03,5.428326451813542119e-01
3.874000000000000110e+00,1.870396289949566582e-01,-4.883673843604124758e-03,5.430327496376412544e-01
3.875000000000000000e+00,1.857913552057083306e-01,-4.913810532269813521e-03,5.432328717791867767e-01
3.875999999999999890e+00,1.846734606510703758e-01,-4.943743309950918673e-03,5.434330164654442852e-01
3.877000000000000224e+00,1.836915895525900178e-01,-4.973473164450098460e-03,5.436331869775570258e-01
3.878000000000000114e+00,1.828511865001426484e-01,-5.003000948419105039e-03,5.438333881596610908e-01
3.879000000000000004e+00,1.821574895665423743e-01,-5.032327373904490336e-03,5.440336248707249300e-01
3.879999999999999893e+00,1.816155236438246057e-01,-5.061453007100076215e-03,5.442339010308183678e-01
3.881000000000000227e+00,1.812300940083332312e-01,-5.090378263312936129e-03,5.444342212570957296e-01
3.882000000000000117e+00,1.810057801217269113e-01,-5.119103402149295483e-03,5.446345899052412731e-01
3.883000000000000007e+00,1.809469296746216149e-01,-5.147628522926658151e-03,5.448350116556107681e-01
3.883999999999999897e+00,1.810576528794196061e-01,-5.175953560318055473e-03,5.450354910306106637e-01
3.885000000000000231e+00,1.813418170186543166e-01,-5.204078280234213441e-03,5.452360327613080537e-01
3.886000000000000121e+00,1.818030412548011787e-01,-5.232002275949117209e-03,5.454366409979942709e-01
3.887000000000000011e+00,1.824446917074268870e-01,-5.259724964474151061e-03,5.456373190630853243e-01
3.887999999999999901e+00,1.832698768030826542e-01,-5.287245583185794240e-03,5.458380713471543411e-01
3.889000000000000234e+00,1.842814429032013646e-01,-5.314563186711549446e-03,5.460389028143959322e-01
3.890000000000000124e+00,1.854819702150067307e-01,-5.341676644078478982e-03,5.462398180931079539e-01
3.891000000000000014e+00,1.868737689899523935e-01,-5.368584636128495395e-03,5.464408209725897247e-01
3.891999999999999904e+00,1.884588760142145714e-01,-5.395285653204187452e-03,5.466419154374124734e-01
3.893000000000000238e+00,1.902390513952090245e-01,-5.421777993108749770e-03,5.468431058059345373e-01
3.894000000000000128e+00,1.922157756479378476e-01,-5.448059759343249625e-03,5.470443964801967596e-01
3.895000000000000018e+00,1.943902470846550212e-01,-5.474128859624134875e-03,5.472457912414783188e-01
3.895999999999999908e+00,1.967633795109907657e-01,-5.499983004683644920e-03,5.474472942396088060e-01
3.897000000000000242e+00,1.993358002313888044e-01,-5.525619707355448364e-03,5.476489092794528668e-01
3.898000000000000131e+00,2.021078483664035530e-01,-5.551036281947455478e-03,5.478506401148489635e-01
3.899000000000000021e+00,2.050795734840880624e-01,-5.576229843903639065e-03,5.480524904778403261e-01
3.899999999999999911e+00,2.082507345473445515e-01,-5.601197309756080628e-03,5.482544644687211699e-01
3.901000000000000245e+00,2.116207991788373044e-01,-5.625935397368452690e-03,5.484565655140272167e-01
3.902000000000000135e+00,2.151889432447358641e-01,-5.650440626471603389e-03,5.486587974224109709e-01
3.903000000000000025e+00,2.189540507581848039e-01,-5.674709319491691786e-03,5.488611645207076561e-01
3.903999999999999915e+00,2.229147141031390111e-01,-5.698737602670990963e-03,5.490636698194543142e-01
3.905000000000000249e+00,2.270692345788177247e-01,-5.722521407481154232e-03,5.492663170869561684e-01
3.906000000000000139e+00,2.314156232647273104e-01,-5.746056472328363307e-03,5.494691092713840375e-01
3.907000000000000028e+00,2.359516022058973372e-01,-5.769338344549557879e-03,5.496720504941854379e-01
3.907999999999999918e+00,2.406746059175796093e-01,-5.792362382698536608e-03,5.498751435767713636e-01
3.909000000000000252e+00,2.455817832084135066e-01,-5.815123759120429878e-03,5.500783918591749533e-01
3.910000000000000142e+00,2.506699993206482069e-01,-5.837617462812728052e-03,5.502817986254784355e-01
3.911000000000000032e+00,2.559358383857974206e-01,-5.859838302570751466e-03,5.504853674418008769e-01
3.911999999999999922e+00,2.613756061936279851e-01,-5.881780910415066767e-03,5.506891011230331534e-01
3.913000000000000256e+00,2.669853332722081918e-01,-5.903439745298114799e-03,5.508930024016645000e-01
3.914000000000000146e+00,2.727607782763262212e-01,-5.924809097086950090e-03,5.510970750204139401e-01
3.915000000000000036e+00,2.786974316813010111e-01,-5.945883090818710089e-03,5.513013220578745210e-01
3.915999999999999925e+00,2.847905197788904164e-01,-5.966655691225131349e-03,5.515057457959410270e-01
3.917000000000000259e+00,2.910350089717002042e-01,-5.987120707522063795e-03,5.517103491236645674e-01
3.918000000000000149e+00,2.974256103621255032e-01,-6.007271798459748631e-03,5.519151353220188572e-01
3.919000000000000039e+00,3.039567846316769684e-01,-6.027102477629215152e-03,5.521201061965462786e-01
3.919999999999999929e+00,3.106227472060967276e-01,-6.046606119019926236e-03,5.523252647992946684e-01
3.921000000000000263e+00,3.174174737014420211e-01,-6.065775962823502163e-03,5.525306126529438977e-01
3.922000000000000153e+00,3.243347056460554878e-01,-6.084605121478055788e-03,5.527361525030247691e-01
3.923000000000000043e+00,3.313679564729704596e-01,-6.103086585947417077e-03,5.529418871209554887e-01
3.923999999999999932e+00,3.385105177770671436e-01,-6.121213232229224047e-03,5.531478190042526943e-01
3.925000000000000266e+00,3.457554658310344475e-01,-6.138977828085633373e-03,5.533539505938156466e-01
3.926000000000000156e+00,3.530956683538032381e-01,-6.156373039990100347e-03,5.535602837365907192e-01
3.927000000000000046e+00,3.605237915250749658e-01,-6.173391440283444546e-03,5.537668202704816300e-01
3.927999999999999936e+00,3.680323072390493389e-01,-6.190025514532173853e-03,5.539735622164299045e-01
3.929000000000000270e+00,3.756135005903609159e-01,-6.206267669081807874e-03,5.541805122218383950e-01
3.930000000000000160e+00,3.832594775849663682e-01,-6.222110238797652973e-03,5.543876711721248407e-01
3.931000000000000050e+00,3.909621730684825769e-01,-6.237545494985359713e-03,5.545950412140537855e-01
3.931999999999999940e+00,3.987133588641320614e-01,-6.252565653483237867e-03,5.548026238766472495e-01
3.933000000000000274e+00,4.065046521124342505e-01,-6.267162882918239988e-03,5.550104198431301539e-01
3.934000000000000163e+00,4.143275238043832576e-01,-6.281329313117204466e-03,5.552184315837925821e-01
3.935000000000000053e+00,4.221733074997083834e-01,-6.295057043664802413e-03,5.554266604976474397e-01
3.935999999999999943e+00,4.300332082216598018e-01,-6.308338152599471393e-03,5.556351083223061149e-01
3.937000000000000277e+00,4.378983115194513553e-01,-6.321164705238382225e-03,5.558437757019576431e-01
3.938000000000000167e+00,4.457595926894032945e-01,-6.333528763122354098e-03,5.560526632635512945e-01
3.939000000000000057e+00,4.536079261457209300e-01,-6.345422393071510105e-03,5.562617726500240778e-01
3.939999999999999947e+00,4.614340949313642248e-01,-6.356837676342195521e-03,5.564711040170255973e-01
3.941000000000000281e+00,4.692288003597535617e-01,-6.367766717875671632e-03,5.566806585526336004e-01
3.942000000000000171e+00,4.769826717775482727e-01,-6.378201655628931363e-03,5.568904367596843041e-01
3.943000000000000060e+00,4.846862764387421807e-01,-6.388134669977754004e-03,5.571004401008466944e-01
3.943999999999999950e+00,4.923301294802060468e-01,-6.397557993182191767e-03,5.573106688250043517e-01
3.945000000000000284e+00,4.999047039886528321e-01,-6.406463918904412025e-03,5.575211240164077431e-01
3.946000000000000174e+00,5.074004411488198807e-01,-6.414844811768807831e-03,5.577318060045663994e-01
3.947000000000000064e+00,5.148077604627889770e-01,-6.422693116954237245e-03,5.579427150658130552e-01
3.947999999999999954e+00,5.221170700299354595e-01,-6.430001369808049927e-03,5.581538512127786067e-01
3.949000000000000288e+00,5.293187768772854573e-01,-6.436762205471660905e-03,5.583652142045536504e-01
3.950000000000000178e+00,5.364032973296621876e-01,-6.442968368507286624e-03,5.585768046016452715e-01
3.951000000000000068e+00,5.433610674092218540e-01,-6.448612722515395870e-03,5.587886226524042543e-01
3.951999999999999957e+00,5.501825532536831487e-01,-6.453688259732489815e-03,5.590006677402092894e-01
3.953000000000000291e+00,5.568582615427620786e-01,-6.458188110598723879e-03,5.592129404726644548e-01
3.954000000000000181e+00,5.633787499220321848e-01,-6.462105553284906712e-03,5.594254400224033530e-01
3.955000000000000071e+00,5.697346374136882385e-01,-6.465434023168446266e-03,5.596381662493240539e-01
3.955999999999999961e+00,5.759166148034787769e-01,-6.468167122247730529e-03,5.598511188523711546e-01
3.957000000000000295e+00,5.819154549931161435e-01,-6.470298628484571005e-03,5.600642967461515465e-01
3.958000000000000185e+00,5.877220233076356770e-01,-6.471822505064299749e-03,5.602777001105450072e-01
3.959000000000000075e+00,5.933272877469560891e-01,-6.472732909563172314e-03,5.604913283222401343e-01
3.959999999999999964e+00,5.987223291711576412e-01,-6.473024203012754142e-03,5.607051799142944715e-01
3.961000000000000298e+00,6.038983514089466542e-01,-6.472690958851128398e-03,5.609192545747273551e-01
3.962000000000000188e+00,6.088466912786829610e-01,-6.471727971750715520e-03,5.611335506945934748e-01
3.963000000000000078e+00,6.135588285118416252e-01,-6.470130266312676924e-03,5.613480668908625848e-01
3.963999999999999968e+00,6.180263955683080734e-01,-6.467893105617923862e-03,5.615628020755587535e-01
3.965000000000000302e+00,6.222411873334178223e-01,-6.465011999624874738e-03,5.617777556967453734e-01
3.966000000000000192e+00,6.261951706865926948e-01,-6.461482713404253370e-03,5.619929263063119240e-01
3.967000000000000082e+00,6.298804939315303386e-01,-6.457301275201255374e-03,5.622083122271751554e-01
3.967999999999999972e+00,6.332894960780004467e-01,-6.452463984315685679e-03,5.624239122035217253e-01
3.968999999999999861e+00,6.364147159655531016e-01,-6.446967418790692725e-03,5.626397246741727809e-01
3.970000000000000195e+00,6.392489012194861875e-01,-6.440808442900953883e-03,5.628557483357684577e-01
3.971000000000000085e+00,6.417850170294593370e-01,-6.433984214431335766e-03,5.630719811888510451e-01
3.971999999999999975e+00,6.440162547416841132e-01,-6.426492191737164135e-03,5.632884216722376935e-01
3.972999999999999865e+00,6.459360402552867253e-01,-6.418330140577522581e-03,5.635050674858901321e-01
3.974000000000000199e+00,6.475380422139799252e-01,-6.409496140713122347e-03,5.637219166279496818e-01
3.975000000000000089e+00,6.488161799843026323e-01,-6.399988592260513753e-03,5.639389676202176682e-01
3.975999999999999979e+00,6.497646314116991562e-01,-6.389806221794610067e-03,5.641562184532252777e-01
3.976999999999999869e+00,6.503778403461883961e-01,-6.378948088191790412e-03,5.643736664998248997e-01
3.978000000000000203e+00,6.506505239293846055e-01,-6.367413588205924659e-03,5.645913097510639744e-01
3.979000000000000092e+00,6.505776796349108659e-01,-6.355202461770099488e-03,5.648091449322311108e-01
3.979999999999999982e+00,6.501545920545241941e-01,-6.342314797016882985e-03,5.650271708182924568e-01
3.980999999999999872e+00,6.493768394224693763e-01,-6.328751035010373588e-03,5.652453845590578174e-01
3.982000000000000206e+00,6.482402998708158837e-01,-6.314511974183436259e-03,5.654637832210133164e-01
3.983000000000000096e+00,6.467411574087807979e-01,-6.299598774473874792e-03,5.656823645131380252e-01
3.983999999999999986e+00,6.448759076193877338e-01,-6.284012961153458317e-03,5.659011261493649414e-01
3.984999999999999876e+00,6.426413630669789434e-01,-6.267756428344190174e-03,5.661200649688841180e-01
3.986000000000000210e+00,6.400346584093630220e-01,-6.250831442216255029e-03,5.663391779942246185e-01
3.987000000000000099e+00,6.370532552088146172e-01,-6.233240643862607462e-03,5.665584622599424414e-01
3.987999999999999989e+00,6.336949464362224838e-01,-6.214987051845305768e-03,5.667779146415923286e-01
3.988999999999999879e+00,6.299578606631688338e-01,-6.196074064409065087e-03,5.669975322746196866e-01
3.990000000000000213e+00,6.258404659368549394e-01,-6.176505461357844826e-03,5.672173116827315953e-01
3.991000000000000103e+00,6.213415733332547930e-01,-6.156285405590545580e-03,5.674372497943437343e-01
3.991999999999999993e+00,6.164603401840216268e-01,-6.135418444292217721e-03,5.676573432410564335e-01
3.992999999999999883e+00,6.111962729731402755e-01,-6.113909509777608851e-03,5.678775890738244625e-01
3.994000000000000217e+00,6.055492298995768241e-01,-6.091763919984030835e-03,5.680979843238946891e-01
3.995000000000000107e+00,5.995194231024001397e-01,-6.068987378611059684e-03,5.683185254980759327e-01
3.995999999999999996e+00,5.931074205454015535e-01,-6.045585974904753301e-03,5.685392089457304010e-01
3.996999999999999886e+00,5.863141475583858453e-01,-6.021566183084532675e-03,5.687600314898307863e-01
3.998000000000000220e+00,5.791408880326264219e-01,-5.996934861411152250e-03,5.689809889177838143e-01
3.999000000000000110e+00,5.715892852685542369e-01,-5.971699250894530429e-03,5.692020780655843160e-01
4.000000000000000000e+00,5.636613424737336731e-01,-5.945866973640617087e-03,5.694232950867443854e-01
4.001000000000000334e+00,5.553594229098567370e-01,-5.919446030836781995e-03,5.696446357728102150e-01
4.001999999999999780e+00,5.466862496876392363e-01,-5.892444800375519487e-03,5.698660970235921441e-01
4.003000000000000114e+00,5.376449052087870495e-01,-5.864872034116744293e-03,5.700876747866371330e-01
4.004000000000000448e+00,5.282388302549038128e-01,-5.836736854789153009e-03,5.703093647691168666e-01
4.004999999999999893e+00,5.184718227230298293e-01,-5.808048752531611361e-03,5.705311633791931847e-01
